Stream,Current Degree,10th%,12th%,UG%,Backlog, Work Experience ,Placement Status
Commerce,BCom,77.28,88.167,67.88,Yes,Yes,Not Placed
Commerce,BBA,77.2,81.4,67.8,No,Yes,Placed
Professional,BVoc,77,49.5,65,No,No,Placed
Professional,BVoc,77,49.5,65,Yes,Yes,Not Placed
Arts,BA,77,63,66,No,No,Placed
Science,BSc,77,65.6,68.61,No,Yes,Placed
Arts,BA,77,67,58.33,Yes,Yes,Not Placed
Commerce,BCom,77,70,57.5,Yes,No,Not Placed
Commerce,BCom,77,73,60,No,No,Not Placed
Commerce,BCom,77,79,73,No,No,Placed
Science,BCA,77,80,77.25,No,No,Placed
Arts,BA,77,83,78,No,No,Placed
Arts,BA,77,83,79,Yes,No,Not Placed
Commerce,BCom,77,83.33,69.5,No,No,Placed
Arts,BA,77,84,78,Yes,No,Not Placed
Commerce,BCom,77,85,63.5,No,No,Placed
Commerce,BCom,77,88.167,68,No,Yes,Placed
Arts,BA,77,91,70,No,No,Placed
Commerce,BCom,77,92,70,No,Yes,Placed
Commerce,BCom,77,93.83,71.83,No,No,Placed
Science,BSc,76.77,58.3,61,No,No,Placed
Commerce,BCom,76.64,68,65,No,No,Placed
Science,BSc,76.6,88.75,79.84,Yes,No,Not Placed
Arts,BA,76.5,82,60.5,Yes,No,Not Placed
Science,BCA,76.2,64.5,75.8,No,No,Placed
Arts,BA,76,54,58,Yes,Yes,Not Placed
Arts,BA,76,55,55,No,Yes,Placed
Commerce,BBA,76,55.3,55.58,Yes,No,Not Placed
Science,BCA,76,64,61,No,No,Not Placed
Arts,BA,76,66,60,No,Yes,Placed
Arts,BA,76,66,60,No,No,Not Placed
Commerce,BCom,76,67,60,No,No,Not Placed
Commerce,BCom,76,67,60,No,No,Not Placed
Arts,BA,76,68,58.33,No,Yes,Not Placed
Science,BCA,76,69,60,No,No,Not Placed
Professional,BVoc,76,71,75,No,No,Placed
Professional,BVoc,76,71,72,Yes,Yes,Not Placed
Professional,BVoc,76,71,70,Yes,Yes,Not Placed
Professional,BVoc,76,72,70,No,No,Placed
Commerce,BBA,76,74,71,No,No,Placed
Commerce,BBA,76,74,71,Yes,No,Not Placed
Professional,BVoc,76,75,72,No,Yes,Placed
Professional,BVoc,76,76,60,Yes,No,Not Placed
Arts,BA,76,78,75,No,No,Placed
Commerce,BBA,76,79.83,59.056,Yes,No,Not Placed
Commerce,BBA,76,79.83,60,No,Yes,Not Placed
Arts,BA,76,80,75,No,No,Placed
Arts,BA,76,80,74,Yes,Yes,Not Placed
Science,BSc,76,80,58.87,Yes,No,Not Placed
Science,BSc,76,80,58.87,Yes,No,Not Placed
Science,BSc,76,80.167,58.87,Yes,Yes,Not Placed
Arts,BA,76,80.6,62.8,Yes,No,Not Placed
Arts,BA,76,83.8,64.16,Yes,No,Not Placed
Commerce,BBA,76,84.2,72.15,Yes,Yes,Not Placed
Commerce,BCom,76,85,69.085,Yes,No,Not Placed
Commerce,BBA,76,85,65.93,Yes,No,Not Placed
Commerce,BBA,76,85.5,61.5,No,No,Not Placed
Commerce,BCom,76,89,66.7,No,Yes,Placed
Commerce,BBA,76,90,66.8,No,Yes,Placed
Commerce,BCom,76,90.8,61.46,No,Yes,Placed
Commerce,BCom,75.52,86.16,66.5,No,Yes,Placed
Commerce,BBA,75.5,61.3,59,Yes,No,Not Placed
Commerce,BCom,75.5,90.16,65.22,No,Yes,Placed
Commerce,BCom,75.5,90.2,65,No,No,Not Placed
Science,BCA,75.39,86,69.66,No,Yes,Placed
Science,BSc,75.36,66,60,Yes,No,Not Placed
Commerce,BCom,75.36,76.77,52.83,No,Yes,Placed
Commerce,BCom,75.2,82.7,60,Yes,No,Not Placed
Arts,BA,75.16,61.16,61.15,Yes,No,Not Placed
Science,BSc,75,66.66,60,No,No,Not Placed
Professional,BVoc,75,70,60,No,No,Placed
Arts,BA,75,73,65,No,No,Placed
Arts,BA,75,74,68,Yes,No,Not Placed
Science,BSc,75,76,64.07,No,Yes,Placed
Science,BSc,75,78,66,No,Yes,Placed
Arts,BA,75,80,80,No,Yes,Placed
Arts,BA,75,80,80,Yes,No,Not Placed
Arts,BA,75,85,70,No,Yes,Placed
Commerce,BCom,75,85.3,71.833,No,Yes,Placed
Commerce,BCom,75,86,73,No,Yes,Placed
Arts,BA,75,87,57,No,No,Not Placed
Commerce,BCom,75,88.8,75,Yes,No,Not Placed
Commerce,BBA,75,89.5,53,No,Yes,Placed
Commerce,BCom,74.72,76,64.83,No,No,Placed
Commerce,BCom,74.56,75.17,66,No,Yes,Placed
Commerce,BCom,74.56,75.17,66,No,Yes,Placed
Commerce,BCom,74.56,81.4,58.75,Yes,Yes,Not Placed
Commerce,BCom,74.56,81.4,58.75,No,No,Not Placed
Arts,BA,74.5,79.5,59.3,Yes,No,Not Placed
Commerce,BBA,74.4,83,74.83,No,Yes,Placed
Commerce,BBA,74.4,83,52.165,No,Yes,Placed
Science,BCA,74.2,90.6,79.8,No,No,Placed
Commerce,BCom,74.17,75.17,66,No,Yes,Placed
Science,BCA,74.16,90.66,79.83,Yes,Yes,Not Placed
Commerce,BCom,74.1,82.2,75,No,No,Placed
Science,BCA,74.1,90.5,79.8,No,No,Placed
Arts,BA,74,55,60,No,No,Not Placed
Commerce,BBA,74,57,59.8,No,No,Not Placed
Arts,BA,74,59,70,Yes,No,Not Placed
Professional,BVoc,74,65,65,No,No,Placed
Professional,BVoc,74,65,60,Yes,Yes,Not Placed
Commerce,BBA,74,67.8,55.6,Yes,No,Not Placed
Science,BCA,74,69,61,Yes,Yes,Not Placed
Arts,BA,74,71,62.75,No,Yes,Placed
Commerce,BCom,74,75.6,66,No,No,Placed
Commerce,BCom,74,76,60,No,No,Not Placed
Commerce,BCom,74,76,60,No,No,Not Placed
Commerce,BCom,74,76,60,No,No,Not Placed
Professional,BVC,74,79,71.5,No,No,Placed
Commerce,BCom,74,81.4,58.75,No,No,Not Placed
Commerce,BCom,74,84,55,No,Yes,Placed
Commerce,BCom,74,84,71.61,Yes,No,Not Placed
Commerce,BCom,74,84,71,Yes,No,Not Placed
Commerce,BCom,74,84,60,No,No,Not Placed
Arts,BA,74,84,60,No,No,Not Placed
Commerce,BBA,74,89,52.25,No,No,Not Placed
Science,BCA,73.44,72,59,No,No,Not Placed
Science,BCA,73.44,72,59,No,No,Not Placed
Science,BCA,73.44,72.16,59.62,No,No,Not Placed
Science,BCA,73.33,66.75,73.375,No,No,Placed
Science,BCA,73.33,66.75,73.37,No,No,Placed
Commerce,BCom,73.28,85.16,72.75,Yes,No,Not Placed
Science,BCA,73.16,66.75,73.38,Yes,No,Not Placed
Science,BSc,73.16,71,70,Yes,No,Not Placed
Commerce,BBA,73,57,59.83,Yes,No,Not Placed
Commerce,BBA,73,57,59.8,No,No,Not Placed
Arts,BA,73,80,58,No,Yes,Not Placed
Commerce,BCom,73,82,76,No,No,Placed
Commerce,BCom,73,82,75,No,No,Placed
Commerce,BCom,73,85,71,No,No,Placed
Commerce,BCom,73,85,71.89,Yes,No,Not Placed
Science,BSc,72.33,76.83,64.74,No,No,Placed
Science,BSc,72.33,76.83,64.72,Yes,Yes,Not Placed
Science,BCA,72.16,64.5,76.6,Yes,Yes,Not Placed
Science,BSc,72,59,72,Yes,No,Not Placed
Commerce,BCom,72,69,60,No,No,Not Placed
Commerce,BCom,72,70,58,No,No,Not Placed
Commerce,BCom,72,74,60,No,No,Not Placed
Commerce,BCom,72,76,56,No,Yes,Placed
Commerce,BBA,72,78,65,No,No,Placed
Commerce,BCom,72,78,56.61,No,No,Not Placed
Commerce,BBA,72,80,58,Yes,No,Not Placed
Commerce,BBA,72,83,65,No,Yes,Not Placed
Commerce,BCom,72,84,69,Yes,No,Not Placed
Commerce,BCom,72,84.85,58.66,Yes,No,Not Placed
Arts,BA,72,87,60,Yes,No,Not Placed
Commerce,BCom,72,89,67,Yes,No,Not Placed
Science,BSc,71.84,56.33,56.33,Yes,Yes,Not Placed
Commerce,BCom,71.84,89.5,70,No,Yes,Placed
Commerce,BCom,71.68,77.16,54,Yes,No,Not Placed
Arts,BA,71.6,78,59,No,No,Not Placed
Commerce,BBA,71.52,60,55.34,No,No,Placed
Commerce,BCom,71.52,75.833,60.6,No,Yes,Placed
Commerce,BCom,71.5,85,69.55,No,Yes,Placed
Commerce,BCom,71.3,86.166,67.223,No,Yes,Placed
Commerce,BCom,71.04,79.33,58.91,No,No,Not Placed
Science,BCA,71.04,83.833,74,No,No,Placed
Science,BCA,71.04,83.833,74,No,No,Placed
Science,BCA,71.04,83.833,74,No,No,Placed
Science,BCA,71.04,83.833,74,No,No,Placed
Science,BCA,71.04,83.833,75,Yes,No,Not Placed
Science,BCA,71.04,83.833,74,Yes,No,Not Placed
Professional,BVoc,71,63,58,No,No,Not Placed
Commerce,BBA,71,85.2,61.16,No,No,Placed
Commerce,BCom,71,86.16,67.23,No,No,Placed
Commerce,BCom,70.56,69,57.75,No,No,Not Placed
Commerce,BCom,70.56,85.33,72.11,No,Yes,Placed
Commerce,BCom,70.3,89,68.61,No,Yes,Placed
Professional,BVC,70,60,58,No,Yes,Placed
Professional,BSW,70,60,65,No,No,Placed
Professional,BVC,70,60,70,No,No,Placed
Professional,BSW,70,60,70,Yes,Yes,Not Placed
Science,BSc,70,60,57.5,No,Yes,Not Placed
Arts,BA,70,62,58.5,No,No,Not Placed
Arts,BA,70,70,76.6,No,No,Placed
Arts,BA,70,70,65.067,Yes,No,Not Placed
Arts,BA,70,71,65,No,Yes,Placed
Professional,BSW,70,71,83,No,No,Placed
Commerce,BCom,70,75,58.5,No,No,Not Placed
Arts,BA,70,76,56,Yes,Yes,Not Placed
Arts,BA,70,78.5,72.43,No,Yes,Placed
Arts,BA,70,78.5,72.43,Yes,No,Not Placed
Commerce,BCom,70,81,62,No,No,Placed
Commerce,BBA,70,83,70,No,No,Placed
Commerce,BBA,70,83,71,Yes,No,Not Placed
Arts,BA,70,85.2,60,Yes,No,Not Placed
Arts,BA,70,85.2,60,No,No,Not Placed
Arts,BA,70,85.2,60,No,No,Not Placed
Commerce,BCom,69.5,67.67,62,No,No,Placed
Science,BCA,69.44,65.66,68.8125,No,Yes,Placed
Science,BCA,69.44,65.6667,68.8125,Yes,Yes,Not Placed
Science,BCA,69.44,65.6667,69.25,Yes,No,Not Placed
Arts,BA,69.29,61.66,63.76,No,Yes,Not Placed
Science,BSc,69.12,69,62.6,Yes,No,Not Placed
Science,BSc,69.12,69,58.77,No,No,Not Placed
Arts,BA,69.1,71.1,52.67,No,No,Not Placed
Professional,BVoc,69,58,60,No,Yes,Placed
Arts,BA,69,68.85,67.33,No,Yes,Placed
Professional,BVoc,69,71,65,No,No,Placed
Science,BCA,69,77,59,Yes,No,Not Placed
Science,BCA,69,77,59,No,No,Not Placed
Professional,BVoc,69,79,66,Yes,No,Not Placed
Commerce,BCom,69,86.78,72,No,No,Placed
Commerce,BCom,69,91.83,71.83,No,No,Placed
Commerce,BCom,69,91.83,71.83,No,No,Placed
Commerce,BCom,68.96,91.5,60.44,No,No,Placed
Arts,BA,68.85,69,72,No,Yes,Placed
Professional,BVoc,68.8,50.5,70,No,No,Placed
Arts,BA,68.8,69,72,No,No,Placed
Arts,BA,68.8,75.4,70,No,Yes,Placed
Arts,BA,68.8,75.4,65,No,No,Not Placed
Professional,BVoc,68.32,45.83,80,Yes,No,Not Placed
Professional,BVoc,68.32,45.83,68.61,Yes,No,Not Placed
Arts,BA,68.3,54.5,57,No,No,Not Placed
Commerce,BCom,68.18,65,61,No,No,Not Placed
Commerce,BCom,68,70,59.89,No,No,Not Placed
Commerce,BCom,68,73,65,No,No,Placed
Commerce,BCom,68,79,60,No,No,Not Placed
Commerce,BCom,68,89,63.55,No,No,Placed
Commerce,BCom,67.84,71,55.88,Yes,Yes,Not Placed
Commerce,BCom,67.83,72.83,60,No,Yes,Placed
Science,BSc,67.6,72.5,62.76,Yes,No,Not Placed
Commerce,BCom,67.16,91.5,77.45,Yes,No,Not Placed
Science,BSc,67,53,60,No,No,Placed
Science,BSc,67,53,65,Yes,No,Not Placed
Science,BCA,67,62,65,No,No,Not Placed
Professional,BVoc,67,64,65,No,Yes,Not Placed
Arts,BA,67,69,55,No,Yes,Placed
Arts,BA,67,69,56,No,Yes,Not Placed
Science,BSc,67,72.5,62.5,No,No,Placed
Commerce,BCom,67,78,62.55,Yes,No,Not Placed
Professional,BSW,66.72,79.5,80.78,No,No,Placed
Science,BCA,66.72,80.67,71,No,Yes,Placed
Science,BCA,66.72,80.67,70.93,No,Yes,Placed
Science,BCA,66.72,80.67,71,No,No,Placed
Commerce,BCom,66.5,83.83,60.25,No,Yes,Not Placed
Arts,BA,66,70,56,Yes,No,Not Placed
Professional,BVoc,66,72,82,No,Yes,Placed
Commerce,BBA,66,75.33,52.3,Yes,No,Not Placed
Commerce,BCom,65.92,66.5,60.63,No,No,Not Placed
Arts,BA,65.5,65.4,67.33,No,Yes,Placed
Arts,BA,65.5,65.4,67.33,No,No,Placed
Commerce,BCom,65.44,89.5,69.05,No,Yes,Placed
Arts,BA,65,55,59.9,Yes,No,Not Placed
Professional,BVoc,65,63,80,Yes,Yes,Not Placed
Commerce,BCom,65,63,62,No,Yes,Not Placed
Arts,BA,65,65.4,67,No,Yes,Placed
Science,BSc,65,67,57.33,No,Yes,Placed
Commerce,BBA,65,69,62,No,No,Not Placed
Commerce,BBA,65,69,57,No,No,Not Placed
Arts,BA,65,70,56,No,Yes,Placed
Commerce,BCom,65,77,72.88,Yes,No,Not Placed
Commerce,BBA,65,82.5,57.5,No,Yes,Placed
Commerce,BBA,65,82.5,58,No,No,Not Placed
Arts,BA,64.6,75.4,69.78,No,No,Placed
Science,BCA,64.5,72.5,78.73,No,Yes,Placed
Science,BCA,64.5,72.5,78,No,No,Placed
Commerce,BCom,64.48,82.33,70.67,No,No,Placed
Commerce,BCom,64.48,82.33,70.67,No,No,Placed
Commerce,BBA,64,75,63,No,Yes,Placed
Commerce,BBA,64,75,63,Yes,Yes,Not Placed
Commerce,BCom,64,92,70,No,No,Placed
Commerce,BCom,63.84,84.33,59,No,No,Not Placed
Arts,BA,63.66,74.33,61,No,No,Placed
Science,BSc,63.5,61.66,59.61,No,No,Not Placed
Arts,BA,63,60,66,No,Yes,Placed
Arts,BA,63,60,66,No,Yes,Placed
Arts,BA,63,60,66,Yes,Yes,Not Placed
Arts,BA,63,60,66,No,No,Not Placed
Arts,BA,63,68.4,66,No,No,Placed
Arts,BA,63,72,65,Yes,No,Not Placed
Commerce,BBA,63,74,63,No,No,Placed
Commerce,BCom,63,88,61,Yes,No,Not Placed
Commerce,BCom,63,88.33,66,No,Yes,Placed
Commerce,BCom,62.6,77,72.88,Yes,No,Not Placed
Commerce,BBA,62.2,58.16,52.92,Yes,No,Not Placed
Professional,BVoc,62,51,62,No,No,Not Placed
Professional,BVoc,62,53,55,Yes,No,Not Placed
Commerce,BBA,62,65,55.33,Yes,No,Not Placed
Professional,BVoc,62,69,57,No,No,Not Placed
Commerce,BCom,62,84.5,60,No,Yes,Not Placed
Commerce,BCom,61.5,79.5,58.11,No,Yes,Not Placed
Commerce,BCom,61.44,83.8,65.5,Yes,No,Not Placed
Commerce,BCom,61.44,83.83,65.5,No,Yes,Placed
Arts,BA,61,64,68,Yes,No,Not Placed
Professional,BVoc,61,70,54,No,Yes,Placed
Commerce,BCom,61,83.8,65.6,No,Yes,Placed
Commerce,BBA,61,89,65,Yes,No,Not Placed
Professional,BVoc,60.16,70.17,63.55,Yes,Yes,Not Placed
Arts,BA,60.16,72.8,63,No,Yes,Placed
Arts,BA,60.16,72.8,63,No,Yes,Not Placed
Commerce,BCom,60,67,60,No,No,Placed
Professional,BVoc,60,70,64,No,Yes,Not Placed
Professional,BSW,60,76,60,Yes,No,Not Placed
Commerce,BBA,60,88.6,63,No,No,Placed
Arts,BA,60,91,72,No,No,Placed
Arts,BA,60,91,71.3,No,No,Placed
Arts,BA,59.9,54,60,No,No,Not Placed
Commerce,BBA,59.84,62.33,53.5,No,No,Not Placed
Commerce,BBA,59.52,66.8,52.5,Yes,No,Not Placed
Commerce,BBA,59.52,66.83,52.5,No,No,Not Placed
Arts,BA,59.4,85.3,62.46,No,No,Placed
Commerce,BCom,59.36,73.66,72,Yes,No,Not Placed
Commerce,BCom,59.16,85,67.44,No,Yes,Placed
Commerce,BCom,59,85,67,No,No,Placed
Arts,BA,58,56,65,No,No,Placed
Professional,BSW,58,67.2,56.3,Yes,No,Not Placed
Professional,BSW,58,75.8,61,Yes,No,Not Placed
Commerce,BBA,58,78,60,No,Yes,Placed
Science,BSc,57,61.16,57.41,No,Yes,Not Placed
Arts,BA,57,76,54,Yes,Yes,Not Placed
Commerce,BCom,56.8,79.5,64.72,No,No,Placed
Professional,BSW,56.63,89.83,77.63,No,No,Placed
Arts,BA,56.48,55,60,No,Yes,Not Placed
Commerce,BCom,56.16,85,67.44,No,Yes,Placed
Arts,BA,56,50,58,No,Yes,Not Placed
Arts,BA,56,55.1,56.6,No,Yes,Not Placed
Commerce,BBA,56,77,69,No,No,Placed
Commerce,BCom,56,77,69,No,No,Placed
Professional,BVC,56,78,65,No,Yes,Placed
Professional,BVoc,55.84,63.33,52.57,Yes,No,Not Placed
Arts,BA,55.52,78,75,Yes,No,Not Placed
Commerce,BCom,55,85.8,64.1,No,No,Placed
Commerce,BBA,54.4,77,70,No,No,Placed
Arts,BA,54,54,53.6,No,Yes,Placed
Arts,BA,54,54,54,No,Yes,Not Placed
Professional,BSW,54,66.16,56,No,No,Not Placed
Professional,BVoc,53.2,61,70,Yes,Yes,Not Placed
Professional,BVoc,53,51,55,Yes,No,Not Placed
Commerce,BCom,53,84,65,Yes,No,Not Placed
Professional,BVoc,51,61,70,Yes,No,Not Placed
Arts,BA,50,55,75,No,No,Placed
